Market Code,PID,Category,Sub Category,Tertiary Category,Description,Comments,Brand,Brand Type,Pack Description,No. Packs in a Case,No. Units in a Single Pack,Unit Size,Unit Measure,Unit Name,Tax Rate,SKU,Price,Price List, Units per Case, Converted To,Unit Price,Supplier Description,SplitMultipleRule,PackSize,UnitSizeMultiple,UnitsPerCase
,197876,"Food","Fruit  (Fresh)","Apple","Apple : Braeburn",,,"Standard","kg",1.0000,1,"1.000","kg",,0%,"C0176","2.35","IHG","1.0000000","kg","2.35",,"1.0000","1","1.000","1.0000000",
,197969,"Food","Fruit  (Fresh)","Coconut","Coconut",,,"Standard","1 x 1 each",1.0000,1,"1.000","each",,0%,"C0379","1.62","IHG","1.0000000","each","1.62",,"1.0000","1","1.000","1.0000000",
,198002,"Food","Fruit  (Fresh)","Kumquat","Kumquats",,,"Standard","kg",1.0000,1,"1.000","kg",,0%,"C0387","9.92","IHG","1.0000000","kg","9.92",,"1.0000","1","1.000","1.0000000",
,198005,"Food","Fruit  (Fresh)","Kiwi Fruit","Kiwi",,,"Standard","1 x 1 each",1.0000,1,"1.000","each",,0%,"C0385","0.42","IHG","1.0000000","each","0.42",,"1.0000","1","1.000","1.0000000",
,198010,"Food","Fruit  (Fresh)","Lemon","Lemon : Large",,,"Standard","1 x 1 each",1.0000,1,"1.000","each",,0%,"C0264","0.32","IHG","1.0000000","each","0.32",,"1.0000","1","1.000","1.0000000",
,198019,"Food","Fruit  (Fresh)","Lime","Lime",,,"Standard","1 x 1 each",1.0000,1,"1.000","each",,0%,"C0270","0.16","IHG","1.0000000","each","0.16",,"1.0000","1","1.000","1.0000000",
,198029,"Food","Fruit  (Fresh)","Mango","Mango",,,"Standard","1 x 1 each",1.0000,1,"1.000","each",,0%,"C0389","1.83","IHG","1.0000000","each","1.83",,"1.0000","1","1.000","1.0000000",
,198036,"Food","Fruit  (Fresh)","Melon","Melon : Charentais",,,"Standard","1 x 1 each",1.0000,1,"1.000","each",,0%,"C0299","4.44","IHG","1.0000000","each","4.44",,"1.0000","1","1.000","1.0000000",
,198102,"Food","Fruit  (Fresh)","Pear","Pear Conference",,,"Standard","kg",1.0000,1,"1.000","kg",,0%,"C0327","1.98","IHG","1.0000000","kg","1.98",,"1.0000","1","1.000","1.0000000",
,198119,"Food","Fruit  (Fresh)","Pineapple","Pineapple : Extra Sweet",,,"Standard","1 x 1 each",1.0000,1,"1.000","each",,0%,"C0412","2.14","IHG","1.0000000","each","2.14",,"1.0000","1","1.000","1.0000000",
,198137,"Food","Fruit  (Fresh)","Pomegranate","Pomegranate",,,"Standard","1 x 1 each",1.0000,1,"1.000","each",,0%,"C0417","1.67","IHG","1.0000000","each","1.67",,"1.0000","1","1.000","1.0000000",
,198138,"Food","Fruit  (Fresh)","Pomelo","Pomelo",,,"Standard","1 x 1 each",1.0000,1,"1.000","each",,0%,"C0285","3.82","IHG","1.0000000","each","3.82",,"1.0000","1","1.000","1.0000000",
,198170,"Food","Fruit  (Fresh)","Tamarillos","Tamarillos",,,"Standard","1 x 1 each",1.0000,1,"1.000","each",,0%,"C0423","1.51","IHG","1.0000000","each","1.51",,"1.0000","1","1.000","1.0000000",
,198264,"Food","Dairy & Eggs (Chilled)","Fresh Cream (Chilled)","Whipping Cream",,"Own","Standard","1 x 2.27ltr",1.0000,1,"2.270","ltr",,0%,"C0089","7.31","IHG","2.2700000","ltr","7.31",,"1.0000","1","2.270","2.2700000",
,198745,"Food","Vegetables (Frozen)","Peas (Frozen)","Choice : Peas",,"Own","Standard","1 x 1kg",1.0000,1,"1.000","kg",,0%,"F0025","3.60","IHG","1.0000000","kg","3.6",,"1.0000","1","1.000","1.0000000",
,198787,"Food","Vegetables (Frozen)","Potato (Frozen)","Hash Browns",,"Own","Standard","1 x 1kg",1.0000,1,"1.000","kg",,0%,"F0044","3.02","IHG","1.0000000","kg","3.02",,"1.0000","1","1.000","1.0000000",
,199182,"Food","Canned Vegetables","Tomatoes","Chopped Tomatoes",,"Own","Standard","1 x 2.55kg",1.0000,1,"2.550","kg","Can",0%,"A0417","3.39","IHG","2.5500000","kg","3.39",,"1.0000","1","2.550","2.5500000",
,200753,"Food","Vegetables","Carrots","Carrots : Chantenay",,,"Standard","kg",1.0000,1,"1.000","kg",,0%,"C1017","2.35","IHG","1.0000000","kg","2.35",,"1.0000","1","1.000","1.0000000",
,200768,"Food","Vegetables","Courgette","Courgette : Green",,,"Standard","kg",1.0000,1,"1.000","kg",,0%,"C1168","2.09","IHG","1.0000000","kg","2.09",,"1.0000","1","1.000","1.0000000",
,200770,"Food","Vegetables","Courgette","Courgette : Yellow",,,"Standard","kg",1.0000,1,"1.000","kg",,0%,"C1052","5.48","IHG","1.0000000","kg","5.48",,"1.0000","1","1.000","1.0000000",
,200784,"Food","Vegetables","Ginger","Ginger",,,"Standard","kg",1.0000,1,"1.000","kg","Box",0%,"C0907","4.44","IHG","1.0000000","kg","4.44",,"1.0000","1","1.000","1.0000000",
,200785,"Food","Vegetables","Horseradish","Horseradish",,,"Standard","kg",1.0000,1,"1.000","kg",,0%,"C1048","6.42","IHG","1.0000000","kg","6.42",,"1.0000","1","1.000","1.0000000",
,200845,"Food","Vegetables","Peas","Peas : Mangetout",,,"Standard","kg",1.0000,1,"1.000","kg",,0%,"C0923","8.30","IHG","1.0000000","kg","8.3",,"1.0000","1","1.000","1.0000000",
,200895,"Food","Vegetables","Potatoes","Potatoes : Sweet","Orange Flesh",,,"kg",1.0000,1,"1.000","kg",,0%,"C1248","2.35","IHG","1.0000000","kg","2.35",,"1.0000","1","1.000","1.0000000",
,200903,"Food","Vegetables","Shallots","Shallots : Banana",,,"Standard","kg",1.0000,1,"1.000","kg",,0%,"C1013","5.22","IHG","1.0000000","kg","5.22",,"1.0000","1","1.000","1.0000000",
,200904,"Food","Vegetables","Shallots","Shallots : Round",,,"Standard","kg",1.0000,1,"1.000","kg",,0%,"C0935","3.92","IHG","1.0000000","kg","3.92",,"1.0000","1","1.000","1.0000000",
