Market Code,PID,Category,Sub Category,Tertiary Category,Description,Comments,Brand,Brand Type,Pack Description,No. Packs in a Case,No. Units in a Single Pack,Unit Size,Unit Measure,Unit Name,Tax Rate,SKU,Price,Price List, Units per Case, Converted To,Unit Price,Supplier Description,SplitMultipleRule,PackSize,UnitSizeMultiple,UnitsPerCase
,735141,"Food","Meat & Poultry (Frozen)","Duck (Frozen)","Duck : Foie Gras : Sliced Foie Gras : Premium (20 slices) 50 gr",,"Own","Premium","1 x 1 kg",1.0000,1,"1.000","kg",,0%,"SOFC4P027","39.75","IHG - Entegra - P15","1.0000000","kg","39.75",,"1.0000","1","1.000","1.0000000",
,735142,"Food","Fine Foods","Truffles/Truffle Oil","Summer Truffle : Peelings",,,,"1 x 200 g",1.0000,1,"200.000","g","tin",0%,"PLA8221","27.02","IHG - Entegra - P15","0.2000000","kg","27.02",,"1.0000","1","0.200","0.2000000",
,735168,"Food","Can / Pouches - Fish","Tuna","Bluefin Belly : Wild : Red",,"Own","Standard","1 x 215 g",1.0000,1,"215.000","g",,0%,"DON27502","22.53","IHG - Entegra - P15","0.2150000","kg","22.53",,"1.0000","1","0.215","0.2150000",
,736318,"Food","Fish & Seafood (Fzn)","Frozen Prawns & Frozen Other","New Caledonia : Prawns - Tiger : 31/40 : Obsiblue",,,"Premium","1 x 1kg",1.0000,1,"1.000","kg",,0%,"OBS105","36.61","IHG - Entegra - P15","1.0000000","kg","36.61",,"1.0000","1","1.000","1.0000000",
,736319,"Food","Baking Ingredients","Chocolate Products","Milk : 34% : Biskelia",,,"Standard","1 x 3kg",1.0000,1,"3.000","kg",,0%,"VAL11387","46.24","IHG - Entegra - P15","3.0000000","kg","46.24",,"1.0000","1","3.000","3.0000000",
,744182,"Food","Bakery (Frozen)","Rolls & Buns (Frozen)","Bread Roll Selection : finedor bread,  green olive roll,  cereal roll",,"Own","Standard Organic","90 x 45 g",1.0000,90,"45.000","g",,0%,"BRI31588","39.48","IHG - Entegra - P15","4.0500000","kg","0.4387",,"1.0000","90","0.045","4.0500000",
,754186,"Food","Bakery (Frozen)","Rolls & Buns (Frozen)","Roll : Rustic",,"Own","Standard","50 x 40 g",1.0000,50,"40.000","g",,0%,"BRI30896","13.94","IHG - Entegra - P15","2.0000000","kg","0.2788",,"1.0000","50","0.040","2.0000000",
,767337,"Food","Bakery (Frozen)","Afternoon Tea / Teatime Treats (Frozen)","FROZEN PAIN WITH FRUITS : (LENOTRE)",,,"Standard","20 x 180 g",1.0000,20,"180.000","g",,0%,"BRI30894","26.09","IHG - Entegra - P15","3.6000000","kg","1.3045",,"1.0000","20","0.180","3.6000000",
,767347,"Food","Baking Ingredients","Chocolate Products","Cunchy chocolate pearls : Dark : 55% : Toasted cereals coated in dark chocolate",,"Valrhona","Standard","1 x 3 kg",1.0000,1,"3.000","kg",,0%,"VAL4719","43.66","IHG - Entegra - P15","3.0000000","kg","43.66",,"1.0000","1","3.000","3.0000000",
,767938,"Food","Bakery (Frozen)","Bread (Frozen)","Fusette Bread : Black Olive & Thyme",,,"Standard","50 x 50g",1.0000,50,"1.000","each",,0%,"BRI31823","20.24","IHG - Entegra - P15","50.0000000","each","0.4048",,"1.0000","50","1.000","50.0000000",
,772127,"Food","Baking Ingredients","Sundries","Glucose : Syrup : Crystal",,"Own","Standard","1 x 9 kg",1.0000,1,"9.000","kg",,0%,"CSM275","33.03","IHG - Entegra - P15","9.0000000","kg","33.03",,"1.0000","1","9.000","9.0000000",
,777774,"Food","Bakery (Frozen)","Morning Goods/Viennoiserie (Frozen)","Butter Pain aux  Raisins : Large : AOP",,"Own","Standard","60 x 105 g",1.0000,60,"105.000","g",,0%,"BRI30277","29.20","IHG - Entegra - P15","6.3000000","kg","0.4867",,"1.0000","60","0.105","6.3000000",
,781359,"Food","Bakery (Frozen)","Morning Goods/Viennoiserie (Frozen)","Pain au Chocolat : AOP butter",,"Own","Standard","90 x 70 g",1.0000,90,"70.000","g",,0%,"","50.71","IHG - Entegra - P15","6.3000000","kg","0.5634",,"1.0000","90","0.070","6.3000000",
,781360,"Food","Bakery (Frozen)","Morning Goods/Viennoiserie (Frozen)","Croissant : Large : AOP Butter",,,"Standard","70 x 60 g",1.0000,70,"60.000","g",,0%,"BRI30214","23.12","IHG - Entegra - P15","4.2000000","kg","0.3303",,"1.0000","70","0.060","4.2000000",
,783651,"Food","Meat & Poultry (Chilled)","Puddings and Stuffings (Chilled)","Black Pudding : MANGALITZA PORK",,,,"1 x 1 kg",1.0000,1,"1.000","kg",,0%,"OTT2001","14.78","IHG - Entegra - P15","1.0000000","kg","14.78",,"1.0000","1","1.000","1.0000000",
,788178,"Food","Meat & Poultry (Chilled)","Game (Chilled)","Quail : Eggs",,"Own","Standard","18 x 1 each",1.0000,18,"1.000","each","Packet",0%,"CDC06","1.95","IHG - Entegra - P15","18.0000000","each","0.1083",,"1.0000","18","1.000","18.0000000",
